,male,female,flames_result
8566,joshua king,mackenzie white,Affection
8567,john miller, bonnie griffin dds,Affection
8568,douglas lee,sheri moody,Love
8569,matthew hart,pam clark,Marriage
8570,tim rogers,rachel contreras,Love
8571,brian baxter,dr melanie johnson md,Marriage
8572,charles smith,katie campbell,Affection
8573,walter le,heather fisher,Enemy
8574,mark arnold,brooke rice,Marriage
8575,jeffery ray,alyssa perez,Affection
8576,john duffy,jordan savage,Affection
8577,matthew young,danielle gutierrez,Affection
8578, john cervantes,melissa hodges,Affection
8579,michael wilson,katie solis,Enemy
8580,christopher fowler, jennifer baird,Affection
8581,jonathan silva,susan welch,Enemy
8582,corey armstrong,regina obrien,Affection
8583,gary clark,alison barker,Enemy
8584,david park,kim fernandez,Enemy
8585,timothy lee,sarah herrera,Marriage
8586,marcus nguyen,natasha kent,Marriage
8587,michael carpenter,katie banks,Affection
8588,jamie neal,crystal cortez,Friends
8589,anthony cooper,jennifer harmon,Affection
8590,edward wilson, deborah lopez dvm,Affection
8591,anthony gill,marissa powers,Affection
8592,bradley montgomery,lisa hall,Friends
8593,mark mckay,sharon wade,Affection
8594,daniel richards,kristen snyder,Affection
8595,david williams,sandra kelley,Affection
8596,michael jones,stacy wilson,Affection
8597,steven white,kelly garcia,Friends
8598,alvin fuller,alexis perez,Affection
8599,evan davis,jennifer hayes,Affection
8600,jesse patterson,michele baxter,Friends
8601,ryan tran,michelle wiggins,Enemy
8602,aaron fischer,shannon clark,Friends
8603,jim leach,kristina curry,Friends
8604,david smith,kristi rangel,Affection
8605,joshua page,katelyn jones,Love
8606,timothy salazar,marissa salinas,Enemy
8607,david fernandez,theresa thomas,Affection
8608,james smith,sophia johnson,Love
8609,mark shields,nicole garcia,Marriage
8610,thomas sullivan,brittney wright,Affection
8611,ethan mcknight,nichole delgado,Love
8612,jose figueroa,maria collins,Marriage
8613,ricardo king,jennifer mathews,Marriage
8614,matthew moon,tammy cabrera,Love
8615,brandon jones,lindsey gutierrez,Affection
8616,david nelson,amanda greene,Affection
8617,john jones,catherine ellison,Love
8618,scott charles,deborah ford,Marriage
8619,stephen farmer,kimberly crawford,Friends
8620,brandon barnes,nicole reid,Enemy
8621,justin klein,michelle beard,Friends
8622,mark guerra,sandra collins,Marriage
8623,brian miles,crystal campbell,Affection
8624,jonathan stone,alexandria clark,Friends
8625,robert francis,teresa hancock,Friends
8626,james morales,laurie cruz,Marriage
8627,charles adkins,tara ramirez,Marriage
8628,zachary delgado,candace powell,Affection
8629,jeffrey henry,natalie byrd,Marriage
8630,patrick reeves,christine tran,Marriage
8631,jerry carpenter,christine oneill,Affection
8632,daniel smith,sherry salinas,Marriage
8633,roger mcdonald,monica carter,Marriage
8634,kelly vance,emily orr,Love
8635,tyler williamson,tammy williams,Enemy
8636,michael elliott,laura parsons,Friends
8637,alexander welch,roberta huff,Affection
8638,spencer duke,virginia pruitt,Friends
8639,kevin richardson,sandra harrison,Enemy
8640,andrew huber,danielle gray,Enemy
8641,nicholas hill,samantha phillips,Marriage
8642,robert howard,cynthia ashley,Marriage
8643,joseph gallagher,amanda marks,Friends
8644,andrew gregory,kristin mayo,Affection
8645,john moore,melissa jordan,Affection
8646,kenneth reyes,madison parker,Love
8647,casey berg,jennifer boyer,Love
8648,ryan thompson,jordan hendrix,Marriage
8649,cameron armstrong,monica grant,Friends
8650,jeffery jacobs,cheryl hobbs,Affection
8651,nicholas miller,rebecca mora,Enemy
8652,sean martinez,kelly hall,Marriage
8653,nathan mack,joann brown,Marriage
8654,michael horne,barbara brewer,Affection
8655,brandon chase,dr lori vance,Enemy
8656,james bailey,elizabeth fernandez,Affection
8657,patrick gallagher,jennifer davenport,Marriage
8658,douglas brock,dawn martin,Marriage
8659,james franklin,christine bowman,Love
8660,chris thomas,michele watkins,Affection
8661,gregory johnson,katherine lee,Affection
8662,curtis nelson iv,karen sanchez,Affection
8663,kevin gutierrez,caroline rosales,Marriage
8664,eric decker,kayla barnes,Affection
8665,antonio guzman,laura ellison,Love
8666,david henderson,kathleen fuentes,Affection
8667,christopher munoz,emily guerrero,Marriage
8668,peter collins,whitney holland,Love
8669,ralph castro,virginia perry,Friends
8670,robert olson,rachael fowler,Love
8671,thomas moore,abigail burns,Friends
8672,gary lowe,ashley williams,Enemy
8673,shannon roberts,sara taylor,Affection
8674,scott lopez,emily sandoval,Affection
8675,tyler jordan,carrie erickson,Marriage
8676,david davis,carolyn shepard,Friends
8677,andrew white,katie peterson,Affection
8678,aaron cameron,elizabeth anderson,Love
8679,francisco carter,sarah jenkins,Enemy
8680,kenneth morris,victoria valencia,Affection
8681,james burns,hannah nunez,Enemy
8682,charles schultz,rhonda doyle,Affection
8683,robert benitez,kimberly santos,Affection
8684,david sims,kimberly phillips,Marriage
8685,cameron thomas,dawn holland,Affection
8686,juan blackburn,connie palmer,Affection
8687,james barker,hannah johnson,Friends
8688,larry rivera,deanna olson,Friends
8689,andrew duke,barbara hicks,Affection
8690,matthew watson,bailey horn,Affection
8691,anthony allen,melissa herrera,Affection
8692,gregory sanchez,elizabeth robinson,Love
8693,christopher robinson,laura jennings,Marriage
8694,christopher johnson,carolyn fowler,Marriage
8695,joseph reid,laura lee,Affection
8696,stephen reyes,sydney ward,Enemy
8697,jason gonzales,heather smith,Friends
8698,michael williams,emma gentry,Marriage
8699,thomas thompson,allison williams,Affection
8700,nathan martin,lisa franklin,Enemy
8701,david hernandez,sandra scott,Affection
8702,jose ayala,ashley foster,Friends
8703,raymond rios,katherine campbell,Friends
8704,luis green,erica griffith,Love
8705,benjamin williams,tiffany gomez,Affection
8706,patrick mccullough,kimberly park,Affection
8707,brian fields,chloe avila,Love
8708,robert gray phd,denise johnson,Friends
8709,dennis krause,debra rodriguez,Enemy
8710,george clark,melissa fitzgerald,Affection
8711,tom strong,chelsea smith,Affection
8712,calvin sherman,april harrison,Marriage
8713,nicholas hall,allison larsen,Friends
8714,jonathan black dds,lauren robertson,Affection
8715,john blair,mary spence,Affection
8716,joseph oneal,allison kline,Marriage
8717,robert ewing,michaela davis,Friends
8718,grant moreno,stacy adams,Affection
8719,jonathan smith,mariah shaw,Affection
8720,adam mckay,elizabeth park,Marriage
8721,tyler harrison,jacqueline kramer,Marriage
8722,jeffery quinn,melissa ochoa,Love
8723,martin hoffman,jennifer nelson,Affection
8724,joshua monroe,ruth cox,Enemy
8725,scott smith,amanda lowery,Friends
8726,matthew huff,alyssa blackburn,Enemy
8727,edward sanchez,lori tucker,Marriage
8728,joseph miller,tina cantu,Love
8729,gregory nelson,erin snyder,Enemy
8730,george fox,julia pope,Affection
8731,mark peterson,nancy rasmussen,Enemy
8732,john solis,mariah smith,Marriage
8733,joshua perry,tina thornton,Affection
8734,joseph fisher,jacqueline cobb,Friends
8735,billy soto,danielle washington,Affection
8736,kyle wilson,mary cantrell,Affection
8737,bernard anderson,jacqueline burns,Love
8738,andrew jimenez,janice ellis,Enemy
8739,gary chapman,michelle combs,Friends
8740,corey johns,denise phillips,Friends
8741,brandon bruce,sheila woods,Friends
8742,jeffrey mccoy,amy king,Friends
8743,robert espinoza,april santos,Friends
8744,gary petersen,audrey ball,Love
8745,richard graves,shannon lucas,Friends
8746,benjamin jones,natalie hernandez,Affection
8747,justin pratt,tonya sheppard,Affection
8748,john tucker,valerie flores,Friends
8749,robert barnes,hannah coleman,Affection
8750,james morales,madeline carroll,Enemy
8751,george pierce,christina shepherd,Affection
8752,david conner,deborah olsen,Enemy
8753,austin patel,rebekah wilson,Love
8754,ronald garcia,sandra rocha,Friends
8755,nathaniel martinez,kelly gamble phd,Marriage
8756,john bradley, valerie castillo,Marriage
8757,ian chavez,diana moody,Marriage
8758,gregory olson,charlotte harmon,Affection
8759,david ramirez,lisa garcia,Love
8760,darrell henry,alexandra shelton,Friends
8761,nicolas crawford,stacy ford,Marriage
8762,anthony hurst,lisa robinson,Love
8763,christopher small,melissa reynolds,Affection
8764,john leonard,krista reyes,Friends
8765,mario garcia,jessica moore,Marriage
8766,robert rice,rebecca mccoy,Friends
8767,michael ferguson,julie pitts,Affection
8768,alexander wagner,andrea hernandez,Marriage
8769,matthew watkins,brandy figueroa,Friends
8770,charles stone,kimberly huang,Affection
8771,parker kline,amy jackson,Affection
8772,edward diaz,kathleen king,Friends
8773,garrett jones,kimberly brown,Friends
8774,jeffrey santos,tracey snyder,Marriage
8775,david nguyen,ashley scott,Friends
8776,johnny ellis,tiffany moran,Affection
8777,ethan jimenez,angela barr,Marriage
8778,robert romero,lisa jones,Friends
8779,jason kelly,laura arnold,Enemy
8780,stephen garcia,susan cole,Enemy
8781,steven castillo,christine gordon,Enemy
8782,richard duncan,lauren coleman,Love
8783,michael barr,rose martinez,Enemy
8784,brandon goodwin,patricia holmes,Friends
8785,james mcgee,jennifer moran,Marriage
8786,jeffrey allen,kim jones,Affection
8787,derek escobar,alice preston,Affection
8788,roberto mccarty,darlene nichols,Affection
8789,matthew henderson,amanda schroeder,Enemy
8790,jeffrey rivera,michelle myers,Affection
8791,jeffrey scott,sara zuniga,Friends
8792,joshua evans,kathryn king,Friends
8793,derek french,brittney doyle,Affection
8794,matthew lopez,taylor chang,Marriage
8795,michael jones,anna morales,Friends
8796,michael baker,heidi greene md,Love
8797,micheal stevens,cassie ramirez,Affection
8798,christopher payne,angela calhoun,Affection
8799,jonathan garcia,tammy martinez,Marriage
8800,ryan hays,lisa roberts,Love
8801,jeremiah smith,candice mcdaniel,Friends
8802,roy campbell,debra park,Affection
8803,christopher tran,jessica campos,Love
8804,gary howard,beverly padilla,Affection
8805,peter garcia,betty newton,Friends
8806,aaron collins,angela buchanan,Love
8807,marvin rogers,tonya mcpherson,Affection
8808,john kennedy,jane stewart,Affection
8809,james taylor,stephanie weber,Marriage
8810,mark smith,jessica campbell,Affection
8811,phillip roberts,anna stewart,Marriage
8812,christopher medina,emily king,Marriage
8813,james levine,kayla sweeney,Affection
8814,michael moss,cindy smith,Affection
8815,john trevino,catherine marquez,Marriage
8816,steven taylor,patricia alexander,Love
8817,james rivera,kimberly foster,Marriage
8818,daniel berry,mary reed,Friends
8819,brian thompson,lauren wilson,Love
8820,william burke,crystal rodgers md,Marriage
8821,daniel thompson,kathryn holland,Affection
8822,jason salazar, tina sellers,Enemy
8823,david chase,jennifer williamson,Friends
8824,kevin chavez,debra vazquez,Love
8825,ethan cameron,stephanie hanson,Enemy
8826,tony mcmahon,dr shannon walters,Affection
8827,aaron hughes,kimberly morales,Affection
8828,daniel richards,nancy brown,Affection
8829,timothy alvarez,cindy jones,Friends
8830,jake patton,olivia johnson,Marriage
8831,sean bailey,tammie hall,Affection
8832,jeffrey lewis,alexandra tran,Friends
8833,nicholas gibson,kerry paul,Love
8834,jason wallace,linda torres,Affection
8835,terry johnson,melissa collins,Friends
8836,kevin sullivan,brittney harris,Friends
8837,frank marshall,laura williams,Affection
8838,todd cooper,brandy herrera,Affection
8839,bradley young,vanessa vasquez,Marriage
8840,john santiago,sarah gregory,Love
8841,edward rosales,megan zhang,Friends
8842,shawn huynh,susan goodwin,Enemy
8843,antonio hill, lindsey howard,Affection
8844,vernon blanchard,angelica harris,Affection
8845,joseph alvarez iii,sarah higgins,Marriage
8846,wesley hernandez,kathleen shepard,Marriage
8847,david graham,angela medina,Affection
8848,don long,angela gutierrez,Friends
8849,brandon rasmussen,maria gilmore,Affection
8850,john sandoval,krystal cook,Affection
8851,matthew butler,rachel garcia,Marriage
8852,bruce hall,claire padilla,Enemy
8853,michael pratt,denise garcia,Love
8854,stephen wilson,karen solis,Enemy
8855,christopher garza,tracy lee,Love
8856,miguel strong,patricia martinez,Affection
8857,michael hall,gloria acosta,Love
8858,thomas cortez,kristie munoz,Affection
8859,eric johnson,theresa phillips,Affection
8860,xavier anderson,stephanie gutierrez,Marriage
8861,brandon moses,meghan mills,Love
8862,daniel brown,jessica miller,Marriage
8863,micheal willis,sara fletcher,Enemy
8864,jonathan stanley,marie coleman,Marriage
8865,jeffrey campbell,jessica moody,Affection
8866,todd kirby,victoria carter,Marriage
8867,joshua johnson,ashley ross,Enemy
8868,jose jones,angela bennett,Affection
8869,james sherman,sarah durham,Marriage
8870,joseph lawrence,alicia mclean,Love
8871,jesse johnson,denise campbell,Friends
8872, richard hooper phd,carmen henry,Marriage
8873,james davis,robin lewis,Affection
8874,anthony joseph,kathryn johnson,Enemy
8875,wayne morrison,ellen johnson,Marriage
8876,robert flores,debra williams,Marriage
8877,timothy shaffer,mary garner,Marriage
8878,troy johnson,miss jaclyn miller,Marriage
8879,david smith,laura knapp,Friends
8880,daniel palmer,jennifer beasley,Affection
8881,joseph buckley,heather brown,Friends
8882,alexander dominguez,rachael pittman,Affection
8883,mark white,kimberly steele,Affection
8884,david pearson,kimberly brandt,Marriage
8885,george henderson md,deborah newton,Affection
8886,edwin pineda,nicole cox,Marriage
8887,oscar thomas,jill adams,Marriage
8888,adam holland,diane phillips,Enemy
8889,kevin christensen,elizabeth cowan,Affection
8890,alexander bennett,sydney mcintosh,Marriage
8891, matthew davidson,terri bell,Friends
8892,brian garcia,tiffany hernandez,Affection
8893,tyler noble,leah chandler,Love
8894,dylan lee,christina dawson,Marriage
8895,ricky romero,michelle black,Affection
8896,jason marquez,gina taylor,Affection
8897,dale burke,julie davis,Affection
8898,matthew brown,melissa johnson,Affection
8899,jason smith,amanda sanchez,Affection
8900,terry jackson,marcia davila,Friends
8901,gregory floyd,gail davis,Friends
8902,michael reyes,tiffany perry,Love
8903,zachary young,rebecca hall,Affection
8904,joshua hansen,amber summers,Affection
8905,michael smith,denise elliott,Enemy
8906,william alvarez,hannah cole,Affection
8907,william galvan,caroline hart,Marriage
8908,dustin smith,stephanie davis,Affection
8909,andre willis,elizabeth jones,Enemy
8910,jonathan oliver,kimberly martinez,Marriage
8911,michael lewis,natalie shields,Marriage
8912,derrick wilson,courtney garrett,Friends
8913,michael baker,marie hensley,Marriage
8914,matthew green, sandra black,Friends
8915,david taylor,kelly yates,Love
8916,donald coleman,megan stanley,Enemy
8917,david hernandez,rachel mack,Affection
8918,matthew hart,angel thompson,Love
8919,william short,christine harrison,Affection
8920,john myers,lindsay barber,Marriage
8921,daniel velasquez,natalie phillips,Enemy
8922,thomas pacheco,stephanie austin,Love
8923,gregory young,brittany dunn,Affection
8924,anthony colon,heidi brown,Affection
8925,eric hall,isabella knapp,Enemy
8926,bobby torres,sandra robinson,Love
8927,tristan gonzales,melissa adams,Marriage
8928,douglas harrell,tracey little,Affection
8929,jeffrey carter,jennifer whitaker,Enemy
8930,timothy ortega,regina johnson,Love
8931,roger whitehead,angela rosales,Marriage
8932, patrick lane,helen ferguson,Marriage
8933,andrew wilson,lori adams,Marriage
8934,eric wilkerson,ms yolanda james,Friends
8935,michael riggs ii,jill fernandez,Affection
8936,richard bailey,sarah larson,Marriage
8937,marcus hernandez,dana rogers,Enemy
8938,james thomas,danielle wells,Friends
8939,kyle anthony,laura ortiz,Affection
8940,ricky wong,ashley curtis,Affection
8941,scott randall,rachel lee,Love
8942,james jones,christine cannon,Love
8943,charles sutton,susan davis,Marriage
8944,casey fisher,amy wright,Love
8945,andrew banks,tracy thompson,Friends
8946,michael hancock,kaitlin ramirez,Love
8947,alan cox,christine garcia,Affection
8948,justin walker,leah ramos,Love
8949,cameron hall,kylie white,Affection
8950,jason love,jamie williams,Love
8951,douglas lambert,jennifer brooks,Marriage
8952,trevor baker,tanya richards,Affection
8953,michael barker,haley pittman,Love
8954,thomas pacheco,susan rodriguez,Friends
8955,robert allen,christina dyer,Marriage
8956,paul perry,lauren riley,Enemy
8957,ian fitzpatrick,brittney patel,Enemy
8958,jeremy benson, gina anderson,Enemy
8959,kevin patterson,cynthia hernandez,Marriage
8960,timothy henderson,dana townsend,Enemy
8961,anthony foster,wendy hernandez,Love
8962,vincent jones,heather carrillo,Marriage
8963,rodney powell,eileen baker,Love
8964,sean fry,barbara miller,Love
8965,daniel chaney,pamela carter,Marriage
8966,ernest lopez,sheena smith,Love
8967,alexander braun,tammie green,Love
8968,donald brewer,carolyn harding,Enemy
8969,andrew bailey,natalie johnson,Marriage
8970,jeremy blackburn,dana campbell,Affection
8971,justin wright,cynthia alexander,Marriage
8972,frank james,mary perez,Affection
8973,edward butler,ellen merritt,Enemy
8974,alec thomas,kristina kidd,Marriage
8975,joshua buck,courtney logan,Affection
8976,kevin mcdaniel,wanda schwartz,Marriage
8977,michael henry,maria hall,Friends
8978,marcus miller,nicole hughes,Love
8979,jacob garcia,debra mathews md,Friends
8980,matthew kelly,jennifer ellison,Friends
8981,matthew barnes,amanda arnold,Affection
8982,daniel rice,mary murphy,Marriage
8983,shawn andrews,samantha johnson,Love
8984,austin gregory,angela wallace,Affection
8985,jesse curry,emily hutchinson,Affection
8986,charles rasmussen,stephanie reilly,Affection
8987,david zimmerman,brooke jones,Friends
8988,ian white,jessica wilson,Enemy
8989,david smith,christy barnes,Marriage
8990,chris knapp,terri sullivan,Marriage
8991,jordan hanson, amanda huff,Enemy
8992,evan ross,gina gross,Friends
8993,douglas flores,christine green,Marriage
8994,jeff foster,sara reynolds,Marriage
8995,ryan wolfe,kathleen reed,Affection
8996,nicolas klein,mary brown,Friends
8997,david cooper iv,alexis whitaker,Marriage
8998,jason nelson,whitney gonzalez,Marriage
8999,michael watts,michelle haney,Marriage
9000,john key,colleen duarte,Affection
9001,ryan hudson,patty brady,Love
9002,robert hill, jennifer myers dds,Love
9003,joel ramos,susan hubbard,Affection
9004,kevin stevens,jennifer ellis,Enemy
9005,christopher wilkerson,amanda miller,Affection
9006,julian orr,lauren walsh,Enemy
9007,nicholas gibson,alexandra matthews,Friends
9008,mark mendez,tara boyd,Marriage
9009,robert anderson,sarah duncan,Enemy
9010,thomas lowery,rebecca scott,Enemy
9011,richard carr,jennifer price,Affection
9012,steven price,erin cooper,Friends
9013, brad coffey,erica smith,Affection
9014,jaime werner,jennifer powell,Enemy
9015,andrew williams,angel thomas,Love
9016,jeremiah moore,melissa patel,Affection
9017,gregory miller,elizabeth jones,Marriage
9018,adam moyer dvm,shelley hickman,Friends
9019,henry beasley,anna perez,Affection
9020,bradley bass,jennifer perez md,Friends
9021,robert schaefer,tammy nelson,Affection
9022,juan neal,cheryl olson,Marriage
9023,roy dennis,kayla adams,Affection
9024,david johnson,mallory king,Affection
9025,brian brown,melissa moore,Affection
9026,john mills,angie jones,Affection
9027,jeffrey price,rachel beard,Affection
9028,ronald johnson,jessica porter,Affection
9029,benjamin holt,kristen chase,Love
9030,chris lambert,heather mendez,Affection
9031,joseph johnson,vanessa turner,Marriage
9032,peter keller,angie collier,Love
9033,ernest webb,marie jones,Enemy
9034,jose morales, megan lopez dds,Affection
9035,jacob carrillo,shannon ruiz,Affection
9036,benjamin burns,brandi simmons,Friends
9037,andrew lane,kaitlyn martinez,Love
9038,steven davis,jessica holt,Enemy
9039,david cooper,leah hart,Affection
9040,nicholas brown,beverly henderson,Marriage
9041,william reese,danielle hicks,Affection
9042,matthew jackson,lisa smith,Love
9043,lee best,caroline wright,Affection
9044,raymond franklin,teresa page dds,Friends
9045,derrick bennett,brittney baker,Enemy
9046,brandon hartman,dorothy costa,Affection
9047,matthew phillips,julie smith,Marriage
9048,gabriel peterson, ashley gutierrez,Love
9049,donald patterson,lynn villa,Affection
9050,samuel thomas,jennifer liu,Friends
9051,james walsh,stephanie jones,Enemy
9052,john zamora,christina mcmahon,Affection
9053,matthew walls,sarah gibbs,Affection
9054,donald marsh,tina wilson,Enemy
9055,cesar parker,lindsay evans,Affection
9056,matthew shelton,melissa ross,Enemy
9057,scott conway,kathryn hubbard,Marriage
9058,jeffrey white,cynthia tate,Enemy
9059,james garrett,carrie cruz,Marriage
9060,randy hernandez,joan mendoza,Affection
9061,james carter,diana bowen,Friends
9062,alexander carter,megan summers,Affection
9063,joshua nguyen,mary johnson,Marriage
9064,alejandro conway,jennifer walton,Marriage
9065,travis kennedy,diana williams,Marriage
9066,michael trujillo,kimberly kelley,Affection
9067,bruce wells,christina burns,Affection
9068, daniel hamilton md,michele chavez,Affection
9069,william brown,heather williams,Enemy
9070,brandon landry,melissa ball,Friends
9071,nathan wilson,laura sullivan,Affection
9072,michael marshall,nicole tate,Love
9073,thomas jones,alyssa holland,Enemy
9074,troy bass,mary benson,Friends
9075,thomas moses,jessica owens,Enemy
9076,joshua reyes,kathleen weaver,Affection
9077,raymond gomez,natasha lee,Affection
9078,ryan garrison,carol taylor,Enemy
9079,david taylor,rhonda morgan,Love
9080,robert leach,alicia carlson,Enemy
9081,ruben bishop,linda joseph,Affection
9082, david dunlap,kelly gentry,Friends
9083,david nichols,gina garza,Affection
9084,tony johnson,susan brock,Love
9085,brian peterson,kelly lloyd,Friends
9086,roy nelson,katie newton,Love
9087,andrew jones,teresa bishop,Love
9088,gregory simmons,caroline medina,Love
9089,brett sandoval,cheyenne herring,Friends
9090,joel shaw,tracie edwards,Marriage
9091,christopher duncan,beth smith,Affection
9092,jared robles,katherine curtis,Friends
9093,austin bates,elizabeth sherman,Enemy
9094,caleb roberson,rachel houston phd,Enemy
9095,jonathan taylor,emily cochran,Affection
9096,ross garcia,lisa keith,Love
9097,patrick warner,april lamb,Love
9098,andrew miller,pamela carroll,Enemy
9099,cody vazquez,dawn rose,Marriage
9100,logan landry,heather robinson md,Affection
9101,jonathan crane,ashley soto,Love
9102,kyle robles,jill mendez,Affection
9103,brett lane,kara johnston,Love
9104,thomas pena,crystal fernandez,Affection
9105,james dennis,sherri henry,Love
9106,darrell thompson,jessica cardenas,Affection
9107,kenneth mercer,melissa gilbert,Friends
9108,joseph welch,renee smith,Marriage
9109,ricky bush,courtney foster,Affection
9110,mark graham,melissa kelly,Affection
9111,terry cowan,erica williams,Marriage
9112,spencer griffin,vicki harris,Affection
9113,kyle george,amanda cowan,Love
9114,rodney howell,kathleen lowery,Enemy
9115,jose estrada,jennifer porter,Love
9116,samuel smith phd,jessica lawson,Affection
9117,jeffrey hunter,lisa barnes,Friends
9118,timothy hernandez,teresa mcdonald,Affection
9119,jamie smith,taylor curry,Affection
9120,larry byrd,shelby rowe,Affection
9121,eric james,rachel herring,Affection
9122,joshua davila,jamie chapman,Affection
9123,paul murray,julia woods,Affection
9124,matthew bass,tanya williams,Enemy
9125, robert ramirez dvm,sharon olsen dds,Friends
9126,james mendez,amber lucas,Enemy
9127,austin blake,katherine lewis,Friends
9128,raymond brooks,victoria phillips,Friends
9129,robert huang,stephanie cook,Love
9130,daniel phillips,felicia boyle,Marriage
9131,michael rodgers,brandy romero,Enemy
9132,christopher raymond,amber oliver,Affection
9133,jacob delgado,suzanne taylor,Friends
9134,brian ramsey,tasha mejia,Affection
9135,alex henderson,meghan wiley,Love
9136,casey rivera,robin guerrero,Affection
9137,luis smith,carla phillips,Enemy
9138,christopher fitzgerald,deborah quinn,Friends
9139,aaron lam,catherine davis,Affection
9140,eric gibson,jessica newton,Enemy
9141,dennis barnes,catherine king,Enemy
9142,david harris,brittany bates,Affection
9143,joshua robinson,pamela lozano,Friends
9144,marcus marshall,linda lyons,Affection
9145,daniel arroyo,grace hartman,Marriage
9146,thomas lee,latasha higgins,Enemy
9147,jeffrey butler,adriana smith,Enemy
9148,david smith,donna jones,Affection
9149,clayton carpenter,samantha noble,Love
9150,keith kelly,jennifer rowland,Friends
9151, daniel hoover,karen hoffman,Affection
9152,derek osborne,kimberly hicks md,Marriage
9153,brian wilson,angela campbell,Affection
9154,jeffrey schroeder,lauren nelson,Friends
9155,william gonzales,tina atkinson,Marriage
9156,william brown,michelle dudley,Friends
9157,gregory green,emily brady,Marriage
9158,john rivera,deborah aguilar,Affection
9159,michael brown,savannah anderson,Love
9160,earl walker,jennifer malone,Love
9161,patrick cole,alyssa blake,Marriage
9162,mark gilbert,leslie phillips,Affection
9163,anthony zhang,barbara larson,Affection
9164,randy mullins md,sarah morgan,Love
9165,robert bell,jacqueline henderson,Marriage
9166,kyle schultz,teresa leach,Enemy
9167,xavier harris,kathleen perez,Marriage
9168,terry mckinney,jennifer allen,Marriage
9169,michael sexton,andrea koch,Enemy
9170,patrick dunn,rebecca wilson,Affection
9171,richard walker,christina wheeler,Friends
9172, christopher williams md,taylor tucker,Affection
9173,lee butler,heather gomez,Marriage
9174,matthew kaiser,megan cruz,Affection
9175,eric nelson,kelly johnson,Enemy
9176,willie mcclure,shannon duncan,Friends
9177,justin vazquez,michelle beck,Love
9178,charles bass,amanda davis,Affection
9179,carl adams,melanie rodriguez,Affection
9180,thomas bradley,tammy wright,Enemy
9181,jeffrey young,megan reed,Love
9182,john ochoa,vanessa garcia,Affection
9183,jonathan henderson,michele jones,Enemy
9184,maurice elliott,jodi washington,Friends
9185,brian potter,caitlin thomas,Love
9186,michael baker,susan robinson,Friends
9187,donald norman,amy fuentes,Affection
9188,karl green,ann taylor,Enemy
9189,calvin gibson,latoya young,Love
9190,alexander allen,melissa jones,Love
9191,todd porter,laura morton,Love
9192,timothy perkins,heather warren,Marriage
9193,franklin montoya,sara martinez,Enemy
9194,tyler sanchez,cheryl hall,Enemy
9195,christopher english,angela mccormick,Affection
9196,brandon yates,jessica smith,Affection
9197,micheal hernandez,anne alexander,Enemy
9198,brandon small,teresa lewis,Affection
9199,william juarez,pamela ellis,Enemy
9200,tim trevino,deanna hale,Friends
9201,adam stout,christine baker,Marriage
9202,brent mendez,ashley hale,Friends
9203,troy cunningham,tracey mcpherson,Enemy
9204,michael tucker,brandy miller,Love
9205,charles simmons,stephanie stevenson,Enemy
9206,marc green,meghan wilson,Enemy
9207,jason hill,melinda petersen,Affection
9208,jay haley phd,michelle smith,Friends
9209,blake martinez md,laura cummings,Affection
9210,carlos garcia,erin hale,Enemy
9211,jimmy wilson,tiffany wallace,Affection
9212,steven price,alyssa chapman,Marriage
9213,william schneider,grace rice,Enemy
9214,david drake,valerie barnes,Affection
9215,thomas davis,kayla blackburn,Enemy
9216,alexander hartman,natasha garcia,Love
9217,matthew cook,brenda edwards,Friends
9218,robert gomez,kristie lawrence,Marriage
9219,derek guerra,jessica parks,Love
9220,kevin olson,kathleen reilly,Enemy
9221,brian richmond,wendy lam,Affection
9222,robert brewer md,sherry brown,Enemy
9223,samuel parker,danielle perry,Affection
9224,tyler lee,lisa avery,Marriage
9225,vincent alexander,tonya bradley,Affection
9226,andrew johnson,robin miller,Affection
9227,william mosley,kristy allen,Affection
9228,kenneth mcdowell,amy smith,Friends
9229,robert jacobson,penny thomas,Love
9230,sean clark,paige williams,Marriage
9231,david scott,annette bray,Friends
9232,brandon velasquez,amy fitzgerald,Friends
9233,zachary chase,emily mclaughlin,Affection
9234,wayne moyer,elizabeth lee,Friends
9235,ryan matthews,mary parker,Affection
9236,thomas lawrence,karen campbell,Affection
9237,michael howard,emily dawson,Enemy
9238,hector parker,bethany craig,Affection
9239,zachary kent,penny duncan,Affection
9240,nicholas mitchell,sarah tyler,Love
9241,adam nelson,grace kim,Marriage
9242, sergio johnson iii,kimberly parker,Friends
9243,dakota bonilla,megan brock,Love
9244,brett wallace,kelly hughes,Marriage
9245,andrew james,maria thomas,Love
9246,stephen wright,susan whitaker,Marriage
9247,robert young,jenna grant,Affection
9248,angel fritz,michelle alexander,Enemy
9249,paul lewis,melanie cardenas,Enemy
9250,daniel hobbs,natalie king,Enemy
9251,william copeland,alexis pierce,Affection
9252,michael howard,amber smith,Affection
9253,kenneth perez,tara parks,Affection
9254,tyler espinoza,crystal pena,Enemy
9255,dustin gonzalez,brenda arroyo,Affection
9256,matthew palmer,courtney byrd,Friends
9257,brian garrett,ashley reid,Love
9258,daniel smith,lisa swanson,Enemy
9259,joshua johnson,jennifer morris,Affection
9260,ryan phillips,nancy palmer,Enemy
9261,william barnes,martha burns,Enemy
9262,jamie parsons,tracy valentine,Affection
9263,robert vega, laura williams,Love
